pulse_type
Pollination Services
Nutrient Recycling
Seed Dispersal
Carbon Sequestration
Water Purification
Oxygen Production
Heat Regulation
Erosion Control
Habitat Provision
Cultural Services
Genetic Diversity Management
Habitat Enhancement
Pest Mitigation
Spore Dispersal
Predator-Prey Balance
Environmental Enrichment
Disease Regulation
Structural Biodegradation
Soil Fertility Enhancement
Biodiversity Support
Microclimate Regulation
Organic Matter Cycling
Landscape Health Promotion
Symbiotic Relationships
